,district,town,price,size,unitp
30,徐汇,建国西路,2529.2,182.516,11.6183185277
147,黄浦,新天地,1837.27272727,157.307272727,11.4479018859
138,静安,南京西路,1130.0,101.506111111,10.999669838
37,徐汇,衡山路,824.166666667,81.0175,10.6941398217
145,黄浦,南京东路,662.0,66.505,10.0640752874
148,黄浦,淮海中路,753.0,73.47,9.97160087218
140,静安,江宁路,824.545454545,81.72,9.63728609835
144,黄浦,人民广场,1072.5,112.9225,9.5511095869
142,黄浦,世博滨江,994.272727273,101.158181818,9.5062215128
139,静安,曹家渡,840.833333333,93.0847222222,9.49389158059
87,浦东,联洋,1162.22222222,125.102222222,9.40947081149
32,徐汇,徐汇滨江,1330.0,137.436666667,9.40895779871
151,黄浦,蓬莱公园,1045.64516129,104.899354839,9.34742894291
86,浦东,碧云,1490.0,153.01,9.29836409609
153,黄浦,黄浦滨江,1240.0,130.13,9.28653545808
85,浦东,潍坊,412.090909091,46.5672727273,9.24534631778
152,黄浦,豫园,1088.33333333,119.985,9.15193180054
149,黄浦,老西门,1223.25,150.3175,9.088369008
92,浦东,陆家嘴,1112.60465116,117.284186047,9.06158343676
150,黄浦,董家渡,903.666666667,100.685,9.01634920885
141,静安,静安寺,668.888888889,77.0205555556,8.97624120777
84,浦东,源深,993.92,112.558,8.85755536755
31,徐汇,徐家汇,878.813186813,98.2413186813,8.78935442431
143,黄浦,五里桥,688.75,76.65625,8.6916729359
110,长宁,镇宁路,873.777777778,100.367222222,8.61734417291
105,长宁,古北,1218.2173913,142.156521739,8.60911077032
95,虹口,临平路,959.217391304,112.122173913,8.5418100098
146,黄浦,打浦桥,682.3125,80.7075,8.52422190619
106,长宁,天山,925.733333333,111.992,8.52137412379
81,浦东,杨东,1159.375,136.5075,8.46044077861
128,闸北,大宁,872.057142857,109.336285714,8.09843551137
48,普陀,长寿路,952.081081081,115.792702703,8.08749794746
56,杨浦,新江湾城,1162.91666667,141.1775,8.08556176655
89,浦东,花木,706.055555556,85.6116666667,8.04674820384
97,虹口,北外滩,929.166666667,115.924166667,7.91864051084
101,虹口,鲁迅公园,799.0,96.6244444444,7.91214965576
33,徐汇,斜土路,511.0,65.2916666667,7.68916587431
44,普陀,武宁,698.55,90.45325,7.57160225911
83,浦东,洋泾,517.6875,67.9596875,7.56056007425
102,长宁,中山公园,566.375,75.8730357143,7.54186817349
99,虹口,曲阳,446.870967742,59.355483871,7.52083733968
26,徐汇,万体馆,503.954545455,67.1654545455,7.51379646917
60,松江,佘山,7000.0,936.72,7.47288410624
38,徐汇,龙华,533.409090909,70.4568181818,7.45676105504
131,闸北,西藏北路,559.870967742,75.6406451613,7.43567859059
107,长宁,新华路,664.065217391,89.9547826087,7.33477440498
36,徐汇,田林,623.2,85.14625,7.31684250474
57,杨浦,鞍山,571.8,77.118,7.3089686517
35,徐汇,漕河泾,786.25,102.2275,7.24951572715
40,普陀,中远两湾城,796.0,111.019,7.22163910517
108,长宁,虹桥,635.0,88.9963636364,7.21720539368
98,虹口,四川北路,1127.5,157.665,7.18712137742
72,浦东,塘桥,813.620689655,114.749655172,7.07284003333
132,闸北,闸北公园,615.272727273,85.7554545455,7.06931402017
51,杨浦,东外滩,517.272727273,73.5309090909,7.01525998805
29,徐汇,康健,530.705882353,77.8732352941,6.990456764
115,闵行,春申,555.0,77.415,6.97176436192
127,闸北,不夜城,658.9,98.5015,6.96189610386
39,普陀,万里,619.84,91.0964,6.83179448533
58,杨浦,黄兴公园,527.558823529,73.7792647059,6.79666572601
54,杨浦,周家嘴路,539.784313725,79.5143137255,6.78481327819
53,杨浦,五角场,646.571428571,94.0660714286,6.78021817721
109,长宁,西郊,655.777777778,93.1544444444,6.75384213663
103,长宁,仙霞,509.095238095,74.1042857143,6.75335991732
121,闵行,金汇,762.5,112.75,6.71521708947
55,杨浦,控江路,457.25,66.276,6.71237994975
68,浦东,北蔡,526.857142857,79.334,6.63782577832
133,闸北,阳城,527.705882353,79.6952941176,6.62876690675
96,虹口,凉城,425.92,61.8804,6.58666904402
49,普陀,长征,636.35,96.28,6.58601754815
90,浦东,金杨,492.803921569,73.3045098039,6.57720370463
42,普陀,曹杨,462.0,69.7205882353,6.54022315866
50,普陀,长风,357.875,55.45125,6.50510145559
76,浦东,张江,775.947368421,119.197368421,6.5031255412
104,长宁,北新泾,378.210526316,59.5947368421,6.39371874409
66,浦东,三林,581.369369369,89.5196396396,6.39025047048
27,徐汇,上海南站,550.571428571,85.8671428571,6.3899311158
47,普陀,真如,493.3,74.946,6.37559562204
41,普陀,光新,408.3,64.504,6.37272951085
34,徐汇,植物园,351.25,55.205,6.33473344935
67,浦东,世博,429.785714286,67.29875,6.32965557615
113,闵行,古美,652.513888889,98.0965277778,6.18014210993
69,浦东,南码头,368.0,59.144,6.14241453129
